id	content	labels
466	"Coronavirus patients are being ""cremated alive"" in China"	0
1823	A video shows a creature on top of a dome-like structure. “Appearance of devil top of church in Italy some days ago”	0
4708	A video showing an anti-China protest amid the COVID-19 outbreak in Italy	0
4740	Article suggests African skin and blood is resistant to coronavirus	0
3294	The Brazilian Government is handling a 600 brazilian reais monthly COVID-19 emergency allowance to poor citizens. To access it, you need to fill out an oficial form (link to the form)	0
440	U.S. hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths, leaked documents reveal	0
3521	Video shows demolished 5G stations in Hong Kong, protestors held the 5G responsible for COVID-19	0
6723	?drinking fluids can wash the virus into the stomach	0
3819	According to Art. 116, a “state of emergency” will be implemented in Mexico that will limit the free movement of people to combat the #COVID-19 epidemic	0
4335	Empty supermarket in Madrid after measures announced against coronavirus	0
4192	A Turkish citizen in Yozgat ate yogurt and soap together to get rid of the virus	0
3052	Posting anything on coronavirus will be a punishable offence because Disaster Management Act has been implemented	0
4149	The Simpsons had already predicted the coronavirus pandemic	0
3149	Ronaldo Caiado, governor of the Brazilian state Goiás, was beaten up due to his lockdown decrees. A gallery of photos “prove” it	0
1625	Services such as Netflix and Amazon Prime will offer free streaming during a lockdown	0
3703	After dealing with 134 patients, an Italien doctor couple took off their masks and stared at each other from the bottom of their hearts. Both of them died later	0
6500	Wuhan before the apocalypse	0
4811	Claims of cannibalism in China. People are cutting a baby in order to eat it	0
121	A map from Johns Hopkins University that shows the spread of COVID-19 contains malware	0
3507	MOSTLY Says for otherwise healthy people “experiencing mild to moderate respiratory symptoms with or without a COVID-19 diagnosis … only high temperatures kill a virus, so let your fever run high,” but not over 103 or 104 degrees	0
5239	Mostly New strain of virus was already patented; Bill Gates funds institute which holds patent; Bill Gates predicted the outbreak and 65 Million Deaths	0
4873	An apartment in Wuhan was on fire since the owner over-sprayed ethanol. He turned on the heat, causing an explosion	0
2848	Photo shows army trucks in Italy carrying bodies of fatalities from coronavirus disease or COVID-19	0
6396	Hong Kong, located right next to mainland but surprisingly having 0 case of #WuhanCoronavirus and not imposing any effective preventive measures while the number of cases in China increases by hundred every few hours and other farther countries have confirmed cases as well	0
4493	Claim that the coronavirus has been discovered in poultry	0
3132	An inmate who was released from prison under COVID-19 “humanitarian house arrests” was arrested again in Campo Bom. Police officers found more than 100 kg of cocaine in his house, and several guns	0
3396	mostly Hot air application through hairdryer will beat coronavirus	0
1573	A Muslim man spitting on cops during the COVID-19 outbreak	0
2939	Dolphins and swans return to Italy waterways after Covid-19 lockdown	0
3813	Agnès Buzyn, former french minister of Health, took chloroquine out of a list of drugs that could be sold over the counter when the coronavirus started to spread	0
3742	A vaccine against coronavirus was developed	0
3911	Claim that Russian supermarkets are imposing pre-filled trolleys with basic food in the midst of the coronavirus crisis	0
